Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
All,Chrome 68.0.3440.106,,2018-08-16 16:25:27,2018-08-16 16:36:33,11m - 5.851s,FAILED
,,,,,,
Test Cases/Common/ContributerEsbToken,Chrome 68.0.3440.106,Esb token for login with different users,2018-08-16 16:25:28,2018-08-16 16:25:46,18.300s,PASSED
dbConnectionPackage.DBConnectionKeyword.CloseConnections,Chrome 68.0.3440.106,,2018-08-16 16:25:28,2018-08-16 16:25:33,5.109s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 16:25:33,2018-08-16 16:25:40,6.681s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 16:25:40,2018-08-16 16:25:41,1.100s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-16 16:25:41,2018-08-16 16:25:41,0.244s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-16 16:25:41,2018-08-16 16:25:42,0.142s,PASSED
click,Chrome 68.0.3440.106,,2018-08-16 16:25:42,2018-08-16 16:25:43,1.607s,PASSED
"Statement - s = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.executeJavaScript(""return document.documentElement.innerHTML;"", null)",Chrome 68.0.3440.106,,2018-08-16 16:25:43,2018-08-16 16:25:44,0.385s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-16 16:25:44,2018-08-16 16:25:44,0.471s,PASSED
comment,Chrome 68.0.3440.106,,2018-08-16 16:25:44,2018-08-16 16:25:45,0.534s,PASSED
comment,Chrome 68.0.3440.106,,2018-08-16 16:25:45,2018-08-16 16:25:45,0.005s,PASSED
"Statement - startString = s.lastIndexOf(""esbApiToken"") + ""esbApiToken"".length() + 1",Chrome 68.0.3440.106,,2018-08-16 16:25:45,2018-08-16 16:25:45,0.017s,PASSED
Statement - substring = s.substring(startString),Chrome 68.0.3440.106,,2018-08-16 16:25:45,2018-08-16 16:25:45,0.002s,PASSED
comment,Chrome 68.0.3440.106,,2018-08-16 16:25:45,2018-08-16 16:25:45,0.321s,PASSED
